connection_id,source_component,source_connector,target_component,target_connector,source_future_fmu,source_future_fmu_variable,target_future_fmu,target_future_fmu_variable,source_direction,target_direction,source_data_type,target_data_type,source_unit,target_unit,interface_type,item_code,status,review_reasons
CG_002543DBE0F9A7FBC2A3FDD3,L2_4200,L2_4200.p_4235_rp_6fea4b377f978aac,L2_5100,L2_5100.p_5111_rp_5f90d6dd8fba4321,L2_4200.fmu,p_4235_rp_6fea4b377f978aac,L2_5100.fmu,p_5111_rp_5f90d6dd8fba4321,output,input,Real,Real,[-],[-],IF_IF_MEA_005,ITM-MEA-005,READY,
CG_071B7693DAFA8B87ADA0A61E,L2_8100,L2_8100.p_8121_rp_a9c7eff84933cd80,L2_7200,L2_7200.p_7211_rp_faa6c7c9931b0a58,L2_8100.fmu,p_8121_rp_a9c7eff84933cd80,L2_7200.fmu,p_7211_rp_faa6c7c9931b0a58,output,input,Real,Real,[-],[-],IF_IF_CMD_004,ITM-CMD-004,READY,
CG_07AF42BFA3927EF22F7BDDE7,L2_3600,L2_3600.p_3644_rp_af1c1b2c65382775,L2_5300,L2_5300.p_5311_rp_97eb613c06ae1b2e,L2_3600.fmu,p_3644_rp_af1c1b2c65382775,L2_5300.fmu,p_5311_rp_97eb613c06ae1b2e,output,output,Real,Real,[-],[-],IF_IF_PHY_005,ITM-PHY-005,CONNECTION_BINDING_REVIEW_REQUIRED,direction incompatible: output -> output
CG_08375F15DCE75E45D4C45CE8,L2_5100,L2_5100.p_5111_rp_cd7720cf9a4eae22,L2_8100,L2_8100.p_8125_rp_1809c94f1581c7f8,L2_5100.fmu,p_5111_rp_cd7720cf9a4eae22,L2_8100.fmu,p_8125_rp_1809c94f1581c7f8,output,input,Real,Real,[-],[-],IF_IF_LIM_005,ITM-LIM-005,READY,
CG_093EFCE58F3AB220CFEC48AC,L2_X100,L2_X100.p_X112_rp_a59821acb0d73604,L2_8100,L2_8100.p_8122_rp_a095b9b42ab5cc7d,L2_X100.fmu,p_X112_rp_a59821acb0d73604,L2_8100.fmu,p_8122_rp_a095b9b42ab5cc7d,output,input,Real,Real,[-],[-],IF_IF_ACC_004,ITM-ACC-004,READY,
CG_0D68248E62957CCB92C5A2A5,L2_E100,L2_E100.p_E100_rp_0307dc18d9537f9d,L2_8100,L2_8100.p_8127_rp_a916a9847aeadebb,L2_E100.fmu,p_E100_rp_0307dc18d9537f9d,L2_8100.fmu,p_8127_rp_a916a9847aeadebb,output,input,Real,Real,[-],[-],IF_IF_STA_027,ITM-STA-027,READY,
CG_1102EBD35D52A38B96D5D2E7,L2_7200,L2_7200.p_7211_rp_c021f63639408eff,L2_8100,L2_8100.p_8122_rp_b1fb8856841fb7cf,L2_7200.fmu,p_7211_rp_c021f63639408eff,L2_8100.fmu,p_8122_rp_b1fb8856841fb7cf,output,input,Real,Real,[-],[-],IF_IF_STA_003,ITM-STA-003,READY,
CG_117A3F0E6C8FF8FF0013A46B,L2_4500,L2_4500.p_4513_rp_f597e9dc63931270,L2_5100,L2_5100.p_5122_rp_0b57347688ba1240,L2_4500.fmu,p_4513_rp_f597e9dc63931270,L2_5100.fmu,p_5122_rp_0b57347688ba1240,output,input,Real,Real,[-],[-],IF_IF_PHY_014,ITM-PHY-014,READY,
CG_118F2C2B84D1D301C7BE63F8,L2_4500,L2_4500.p_4513_rp_f597e9dc63931270,L2_5100,L2_5100.p_5121_rp_9dedfe88c8a34261,L2_4500.fmu,p_4513_rp_f597e9dc63931270,L2_5100.fmu,p_5121_rp_9dedfe88c8a34261,output,input,Real,Real,[-],[-],IF_IF_PHY_014,ITM-PHY-014,READY,
CG_1ACF37CC65D3FF235E8BD75C,L2_8100,L2_8100.p_8125_rp_dae11d7502a6c37a,L2_7200,L2_7200.p_7211_rp_d26568a796272d7a,L2_8100.fmu,p_8125_rp_dae11d7502a6c37a,L2_7200.fmu,p_7211_rp_d26568a796272d7a,output,input,Real,Real,[-],[-],IF_IF_STA_002,ITM-STA-002,READY,
CG_1AE13610E33C0DC7055CFCED,L2_8100,L2_8100.p_8122_rp_4683a7cb63e55daf,L2_X100,L2_X100.p_X112_rp_81f1c1da5d6d3173,L2_8100.fmu,p_8122_rp_4683a7cb63e55daf,L2_X100.fmu,p_X112_rp_81f1c1da5d6d3173,output,input,Real,Real,[-],[-],IF_IF_CMD_027,ITM-CMD-027,READY,
CG_1AEA8B915E14A5D0FFEE30D9,L2_8100,L2_8100.p_8128_rp_0e19632016b69ff2,L2_7200,L2_7200.p_7211_rp_f786158194c89c8a,L2_8100.fmu,p_8128_rp_0e19632016b69ff2,L2_7200.fmu,p_7211_rp_f786158194c89c8a,output,input,Real,Real,[-],[-],IF_IF_MEA_016,ITM-MEA-016,READY,
CG_1C5FC46A1E7682144A3BDDDF,L2_4200,L2_4200.p_4238_rp_5576b5e0dbb912ba,L2_8100,L2_8100.p_8166_rp_573e029523ef9946,L2_4200.fmu,p_4238_rp_5576b5e0dbb912ba,L2_8100.fmu,p_8166_rp_573e029523ef9946,output,input,Real,Real,[-],[-],IF_IF_MEA_005,ITM-MEA-005,READY,
CG_20C0A22ECCF07864FDBA3F5A,L2_4200,L2_4200.p_4236_rp_9107465175683792,L2_5100,L2_5100.p_5111_rp_651700e69b7dccba,L2_4200.fmu,p_4236_rp_9107465175683792,L2_5100.fmu,p_5111_rp_651700e69b7dccba,output,input,Real,Real,[-],[-],IF_IF_MEA_006,ITM-MEA-006,READY,
CG_2274BA128E639FDE4D4F56EC,L2_4500,L2_4500.p_4517_rp_b93b1716e8b4e844,L2_4200,L2_4200.p_4238_rp_11b7e7965ec2e386,L2_4500.fmu,p_4517_rp_b93b1716e8b4e844,L2_4200.fmu,p_4238_rp_11b7e7965ec2e386,output,input,Real,Real,[-],[-],IF_IF_STA_016,ITM-STA-016,READY,
CG_25DC22E45A984D1CB28D188B,L2_8100,L2_8100.p_8122_rp_a4aac084c46e1e57,L2_X100,L2_X100.p_X112_rp_1164249ec859b807,L2_8100.fmu,p_8122_rp_a4aac084c46e1e57,L2_X100.fmu,p_X112_rp_1164249ec859b807,output,input,Real,Real,[-],[-],IF_IF_CMD_026,ITM-CMD-026,READY,
CG_2E8F3CC8A8EBCDE6B7CF4D27,L2_D100,L2_D100.p_D113_rp_9ca0d9d396f8ffd0,L2_8100,L2_8100.p_8121_rp_a49a67fafe112278,L2_D100.fmu,p_D113_rp_9ca0d9d396f8ffd0,L2_8100.fmu,p_8121_rp_a49a67fafe112278,output,input,Real,Real,[-],[-],IF_IF_CMD_002,ITM-CMD-002,READY,
CG_2EE117B4B0633E38D394B904,L2_4200,L2_4200.p_4238_rp_9744a4b3a255a6e8,L2_4100,L2_4100.p_411C_rp_201c13a158f19a88,L2_4200.fmu,p_4238_rp_9744a4b3a255a6e8,L2_4100.fmu,p_411C_rp_201c13a158f19a88,output,input,Real,Real,[-],[-],IF_IF_CMD_018,ITM-CMD-018,READY,
CG_338D68ABEF709ACD5E0DDCC6,L2_5300,L2_5300.p_5311_rp_97eb613c06ae1b2e,L2_3500,L2_3500.p_3511_rp_aa7691c6f81e4771,L2_5300.fmu,p_5311_rp_97eb613c06ae1b2e,L2_3500.fmu,p_3511_rp_aa7691c6f81e4771,output,input,Real,Real,[-],[-],IF_IF_PHY_005,ITM-PHY-005,READY,
CG_37792F42F4274C7C51C63270,L2_4200,L2_4200.p_4238_rp_0674d2b80a6a72da,L2_4500,L2_4500.p_4518_rp_67eef246e016ac82,L2_4200.fmu,p_4238_rp_0674d2b80a6a72da,L2_4500.fmu,p_4518_rp_67eef246e016ac82,output,input,Real,Real,[-],[-],IF_IF_STA_013,ITM-STA-013,READY,
CG_37ECA5B04E215AC3E6A4B472,L2_5300,L2_5300.p_5311_rp_537e9856bafa2a02,L2_5100,L2_5100.p_5112_rp_21e86fb073b61523,L2_5300.fmu,p_5311_rp_537e9856bafa2a02,L2_5100.fmu,p_5112_rp_21e86fb073b61523,output,input,Real,Real,[-],[-],IF_IF_MEA_011,ITM-MEA-011,READY,
CG_3BD24EBE88F37EEFFE563597,L2_5100,L2_5100.p_5132_rp_770f7e1c507cc073,L2_5300,L2_5300.p_5311_rp_57f3c317ac0c860d,L2_5100.fmu,p_5132_rp_770f7e1c507cc073,L2_5300.fmu,p_5311_rp_57f3c317ac0c860d,output,input,Real,Real,[-],[-],IF_IF_PHY_004,ITM-PHY-004,READY,
CG_3CA6C3BF7D7B4F80CF0990D0,L2_3500,L2_3500.p_3512_rp_c455741f6ca5a597,L2_3100,L2_3100.p_3121_rp_fdcd27ee9b0a936f,L2_3500.fmu,p_3512_rp_c455741f6ca5a597,L2_3100.fmu,p_3121_rp_fdcd27ee9b0a936f,output,input,Real,Real,[-],[-],IF_IF_PHY_005,ITM-PHY-005,READY,
CG_40ADD911FF2840BEEAA67F8D,L2_5100,L2_5100.p_5132_rp_75d86c9dc39b94b8,L2_8100,L2_8100.p_8122_rp_bd78e8d84d334672,L2_5100.fmu,p_5132_rp_75d86c9dc39b94b8,L2_8100.fmu,p_8122_rp_bd78e8d84d334672,output,input,Real,Real,[-],[-],IF_IF_ACC_002,ITM-ACC-002,READY,
CG_4163C3EB1F2D16B7AFCB21C9,L2_8100,L2_8100.p_8121_rp_a9c7eff84933cd80,L2_7200,L2_7200.p_7226_rp_5f6a9d81cebde2d3,L2_8100.fmu,p_8121_rp_a9c7eff84933cd80,L2_7200.fmu,p_7226_rp_5f6a9d81cebde2d3,output,input,Real,Real,[-],[-],IF_IF_CMD_004,ITM-CMD-004,READY,
CG_41AD09EEB4EAB9DC956C08F8,L2_D100,L2_D100.p_D114_rp_d3d5739989ecf2dd,L2_8100,L2_8100.p_8121_rp_0b58c63caeaf2f6d,L2_D100.fmu,p_D114_rp_d3d5739989ecf2dd,L2_8100.fmu,p_8121_rp_0b58c63caeaf2f6d,output,input,Real,Real,[-],[-],IF_IF_CMD_003,ITM-CMD-003,READY,
CG_46A1EE350324445D016EAF45,L2_5300,L2_5300.p_5311_rp_79c695a1342df24f,L2_5100,L2_5100.p_5112_rp_780596fabcc73a0f,L2_5300.fmu,p_5311_rp_79c695a1342df24f,L2_5100.fmu,p_5112_rp_780596fabcc73a0f,output,input,Real,Real,[-],[-],IF_IF_MEA_004,ITM-MEA-004,READY,
CG_4CB0735167799FD438F90DD2,L2_3600,L2_3600.p_3643_rp_48ddc723a7d58137,L2_3100,L2_3100.p_3121_rp_6464b6253314b208,L2_3600.fmu,p_3643_rp_48ddc723a7d58137,L2_3100.fmu,p_3121_rp_6464b6253314b208,output,input,Real,Real,[-],[-],IF_IF_PHY_005,ITM-PHY-005,READY,
CG_4E4C49F08CEE642A5C3C67EB,L2_5100,L2_5100.p_5145_rp_a9cc4822e30a5ede,L2_8100,L2_8100.p_8166_rp_3b0068559b0ca1e4,L2_5100.fmu,p_5145_rp_a9cc4822e30a5ede,L2_8100.fmu,p_8166_rp_3b0068559b0ca1e4,output,input,Real,Real,[-],[-],IF_IF_MEA_009,ITM-MEA-009,READY,
CG_55513667B46680F5B87A0939,L2_5100,L2_5100.p_5113_rp_d93ff3dea2be11bd,L2_8100,L2_8100.p_8122_rp_81e596aab3f0fe4c,L2_5100.fmu,p_5113_rp_d93ff3dea2be11bd,L2_8100.fmu,p_8122_rp_81e596aab3f0fe4c,output,input,Real,Real,[-],[-],IF_IF_STA_019,ITM-STA-019,READY,
CG_565AF053FC6E3FF333FD7433,L2_8100,L2_8100.p_8128_rp_5accd69f9c3a8b0c,L2_3800,L2_3800.p_3811_rp_81d4e1a7092e0653,L2_8100.fmu,p_8128_rp_5accd69f9c3a8b0c,L2_3800.fmu,p_3811_rp_81d4e1a7092e0653,output,input,Real,Real,[-],[-],IF_IF_CMD_024,ITM-CMD-024,READY,
CG_65E377DBF988541FA5778D1E,L2_5300,L2_5300.p_5311_rp_10bb4c4f0063bc18,L2_8100,L2_8100.p_8125_rp_1faca3fc4ff0e741,L2_5300.fmu,p_5311_rp_10bb4c4f0063bc18,L2_8100.fmu,p_8125_rp_1faca3fc4ff0e741,output,input,Real,Real,[-],[-],IF_IF_MEA_012,ITM-MEA-012,READY,
CG_663CDC611495882DCD3E5B8F,L2_D100,L2_D100.p_D121_rp_d32b32814a84a88a,L2_8100,L2_8100.p_8152_rp_93024c6ed1623fbd,L2_D100.fmu,p_D121_rp_d32b32814a84a88a,L2_8100.fmu,p_8152_rp_93024c6ed1623fbd,output,input,Real,Real,[-],[-],IF_IF_CMD_004,ITM-CMD-004,READY,
CG_732BB9F5922B7AC9420BB2D0,L2_5100,L2_5100.p_5145_rp_1680714c67f7d311,L2_8100,L2_8100.p_8122_rp_361eac651ec9fd05,L2_5100.fmu,p_5145_rp_1680714c67f7d311,L2_8100.fmu,p_8122_rp_361eac651ec9fd05,output,input,Real,Real,[-],[-],IF_IF_MEA_008,ITM-MEA-008,READY,
