executable_connection_id,structural_connection_id,source_component,source_variable,target_component,target_variable,quantity,unit,datatype,source_of_semantics,source_of_unit,source_of_causality,legacy_contract_id,binding_rule_id,status
EC::CG_002543DBE0F9A7FBC2A3FDD3::line_voltage,CG_002543DBE0F9A7FBC2A3FDD3,L2_4200,out_line_voltage,L2_5100,in_line_voltage,line_voltage,V,Float64,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,SIM-L2-0006,BR-SIG-001,RESOLVED
EC::CG_071B7693DAFA8B87ADA0A61E::emergency_brake_request,CG_071B7693DAFA8B87ADA0A61E,L2_8100,out_emergency_brake_request,L2_7200,in_emergency_brake_request,emergency_brake_request,1,Boolean,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,SIM-L2-0031,BR-SIG-001,RESOLVED
EC::CG_07AF42BFA3927EF22F7BDDE7::omega_motor,CG_07AF42BFA3927EF22F7BDDE7,L2_5300,out_omega_motor,L2_3600,in_omega_motor,omega_motor,rad/s,Float64,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,SIM-L2-0065,BR-PHY-005-TAP,RESOLVED
EC::CG_08375F15DCE75E45D4C45CE8::grid_acceptable_regenerative_power,CG_08375F15DCE75E45D4C45CE8,L2_5100,out_grid_acceptable_regenerative_power,L2_8100,in_grid_acceptable_regenerative_power,grid_acceptable_regenerative_power,W,Float64,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,SIM-L2-0015,BR-SIG-001,RESOLVED
EC::CG_093EFCE58F3AB220CFEC48AC::ess_absorbed_power,CG_093EFCE58F3AB220CFEC48AC,L2_X100,out_ess_absorbed_power,L2_8100,in_ess_absorbed_power,ess_absorbed_power,W,Float64,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,SIM-L2-0050,BR-SIG-001,RESOLVED
EC::CG_0D68248E62957CCB92C5A2A5::external_safety_system_state,CG_0D68248E62957CCB92C5A2A5,L2_E100,out_external_safety_system_state,L2_8100,in_external_safety_system_state,external_safety_system_state,1,Int32,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,SIM-L2-0049,BR-SIG-001,RESOLVED
EC::CG_1102EBD35D52A38B96D5D2E7::brake_availability,CG_1102EBD35D52A38B96D5D2E7,L2_7200,out_brake_availability,L2_8100,in_brake_availability,brake_availability,1,Boolean,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,SIM-L2-0026,BR-SIG-001,RESOLVED
EC::CG_117A3F0E6C8FF8FF0013A46B::U_sec_rms,CG_117A3F0E6C8FF8FF0013A46B,L2_4500,out_U_sec_rms,L2_5100,in_U_sec_rms,U_sec_rms,V,Float64,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,SIM-L2-0078,BR-PHY-014-ACSEC,RESOLVED
EC::CG_117A3F0E6C8FF8FF0013A46B::f_sec,CG_117A3F0E6C8FF8FF0013A46B,L2_4500,out_f_sec,L2_5100,in_f_sec,f_sec,Hz,Float64,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,SIM-L2-0079,BR-PHY-014-ACSEC,RESOLVED
EC::CG_117A3F0E6C8FF8FF0013A46B::I_sec_rms,CG_117A3F0E6C8FF8FF0013A46B,L2_5100,out_I_sec_rms,L2_4500,in_I_sec_rms,I_sec_rms,A,Float64,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,SIM-L2-0080,BR-PHY-014-ACSEC,RESOLVED
