time,v_train,Ptraction,Pregen,Fregen,Fmechanical,Pdc,Usc,SOCsc,Esc_kJ,Eregen_kJ,traction_command,service_brake_request
0,0,0,-0,-0,0,0,667.83231428256,0.35,26760,0,0,0
0.1,0,0,-0,-0,0,0,667.83231428256,0.35,26760,0,0.0333333333333333,0
0.2,0,0,-0,-0,0,0,667.83231428256,0.35,26760,0,0.0666666666666667,0
0.3,0,0,-0,-0,0,0,667.83231428256,0.35,26760,0,0.1,0
0.4,0,0,-0,-0,0,0,667.83231428256,0.35,26760,0,0.133333333333333,0
0.5,0,0,-0,0,0,0,667.83231428256,0.35,26760,0,0.166666666666667,0
0.6,0,0,-0,0,0,0,667.83231428256,0.35,26760,0,0.2,0
0.7,0,0,-0,0,0,0,667.83231428256,0.35,26760,0,0.233333333333333,0
0.8,0.00101506666666667,0,-0,0,0,0,667.83231428256,0.35,26760,0,0.266666666666667,0
0.9,0.00416913332337816,0,-0,0,0,0,667.83231428256,0.35,26760,0,0.3,0
1,0.00953349982210596,12.3264251292734,-0,0,0,0,667.83231428256,0.35,26760,0,0.333333333333333,0
1.1,0.0171438156106314,58.9820950835657,0,0,0,12.8400261763264,667.83231428256,0.35,26760,0,0.366666666666667,0
1.2,0.0270147829045706,153.949601408875,0,0,0,61.4396823787143,667.83231428256,0.35,26760,0,0.4,0
1.3,0.0391471733347413,311.117034539718,0,0,0,160.364168134244,667.83231428256,0.35,26760,0,0.433333333333333,0
1.4,0.0535376947163424,544.230876379246,0,0,0,324.080244312207,667.83231428256,0.35,26760,0,0.466666666666667,0
1.5,0.0701843687073213,866.848042041414,0,0,0,566.907162895047,667.83231428256,0.35,26760,0,0.5,0
1.6,0.0890860468484839,1292.43669178164,0,0,0,902.966710459807,667.83231428256,0.35,26760,0,0.533333333333333,0
1.7,0.110242101643625,1834.47496963845,0,0,0,1346.28822060588,667.83231428256,0.35,26760,0,0.566666666666667,0
1.8,0.133652220032462,2506.44902172397,0,0,0,1910.91142670671,667.83231428256,0.35,26760,0,0.6,0
1.9,0.15931625310014,3321.85150822178,0,0,0,2610.88439762914,667.83231428256,0.35,26760,0,0.633333333333333,0
2,0.187234125735603,4294.17999849974,0,0,0,3460.26198773102,667.83231428256,0.35,26760,0,0.666666666666667,0
2.1,0.217405793751815,5436.93497197721,0,0,0,4473.10416510389,667.83231428256,0.35,26760,0,0.7,0
2.2,0.249831223883757,6763.61825084095,0,0,0,5663.47392914293,667.83231428256,0.35,26760,0,0.733333333333333,0
2.3,0.284510384737518,8287.73216153538,0,0,0,7045.43567795932,667.83231428256,0.35,26760,0,0.766666666666667,0
2.4,0.321443242857654,10022.7790808887,0,0,0,8633.05433493268,667.83231428256,0.35,26760,0,0.8,0
2.5,0.360629761023383,11982.2611876946,0,0,0,10440.3948759258,667.83231428256,0.35,26760,0,0.833333333333333,0
2.6,0.402069897442918,14179.6803208331,0,0,0,12481.5220705152,667.83231428256,0.35,26760,0,0.866666666666667,0
2.7,0.445763605292842,16628.5378868142,0,0,0,14770.5003342012,667.83231428256,0.35,26760,0,0.9,0
2.8,0.491710832380625,19342.3347870312,0,0,0,17321.3936320981,667.83231428256,0.35,26760,0,0.933333333333333,0
2.9,0.539911520846129,22334.5713513543,0,0,0,20148.2654031575,667.83231428256,0.35,26760,0,0.966666666666667,0
3,0.590365606873029,25618.7472721882,0,0,0,23265.1784909941,667.83231428256,0.35,26760,0,1,0
3.1,0.643073020401388,29208.3615365413,0,0,0,26686.1950751961,667.83231428256,0.35,26760,0,1,0
3.2,0.698033684839406,33116.9123551627,0,0,0,30425.3766005639,667.83231428256,0.35,26760,0,1,0
3.3,0.755247516774299,37357.8970884176,0,0,0,34496.7837032945,667.83231428256,0.35,26760,0,1,0
3.4,0.814714425682618,41239.1911612992,0,0,0,38914.4761337683,667.83231428256,0.35,26760,0,1,0
3.5,0.876434313640305,44982.5111977791,0,0,0,42957.49079302,667.83231428256,0.35,26760,0,1,0
3.6,0.939266275032662,48710.241399581,0,0,0,46856.7824976865,667.83231428256,0.35,26760,0,1,0
3.7,1.0026398169825,52489.5784395121,0,0,0,50739.8347912302,667.83231428256,0.35,26760,0,1,0
3.8,1.06626965370033,56291.7754287251,0,0,0,54676.6442078251,667.83231428256,0.35,26760,0,1,0
3.9,1.13001310337154,60106.2585069692,0,0,0,58637.2660715886,667.83231428256,0.35,26760,0,1,0
4,1.19380229462933,63927.1437433303,0,0,0,62610.6859447595,667.83231428256,0.35,26760,0,1,0
4.1,1.25760851547008,67751.073345622,0,0,0,66590.7747326357,667.83231428256,0.35,26760,0,1,0
4.2,1.32142000232531,71576.2907878619,0,0,0,70574.0347350229,667.83231428256,0.35,26760,0,1,0
4.3,1.38523215021264,75402.0319121356,0,0,0,74558.6362373562,667.83231428256,0.35,26760,0,1,0
4.4,1.44904326483497,79227.9495738433,0,0,0,78543.7832418079,667.83231428256,0.35,26760,0,1,0
4.5,1.512852756751,83053.8876026047,0,0,0,82529.1141394201,667.83231428256,0.35,26760,0,1,0
4.6,1.57666041640318,86879.7764314872,0,0,0,86514.4662527132,667.83231428256,0.35,26760,0,1,0
4.7,1.64046615004378,90705.5842218962,0,0,0,90499.7671161325,667.83231428256,0.35,26760,0,1,0
4.8,1.70426989086851,94531.2950045358,0,0,0,94484.9835644752,667.83231428256,0.35,26760,0,1,0
4.9,1.76807157320068,98356.8995437162,0,0,0,98470.0989630581,667.83231428256,0.35,26760,0,1,0
