time,artifact_role,L2_3100.out_omega_axle,L2_3100.out_omega_gearbox,L2_3100.out_omega_shaft,L2_3100.out_omega_wheel,L2_3500.out_T_shaft,L2_3500.out_omega_shaft,L2_3600.out_motor_speed,L2_4100.out_U_ac_rms,L2_4100.out_f_ac,L2_4100.out_pantograph_state,L2_4200.out_I_ac_rms,L2_4200.out_U_ac_rms,L2_4200.out_f_ac,L2_4200.out_hv_breaker_command,L2_4200.out_hv_breaker_state,L2_4200.out_hv_system_fault,L2_4200.out_line_current,L2_4200.out_line_voltage,L2_4200.out_pantograph_command,L2_4500.out_I_ac_rms,L2_4500.out_U_sec_rms,L2_4500.out_f_sec,L2_4500.out_hv_system_fault,L2_5100.out_I_sec_rms,L2_5100.out_U_motor_ll_rms,L2_5100.out_brake_resistor_dissipated_power,L2_5100.out_dc_link_current,L2_5100.out_dc_link_voltage,L2_5100.out_f_motor_e,L2_5100.out_grid_acceptable_regenerative_power,L2_5100.out_grid_returned_power,L2_5100.out_regenerative_power_actual,L2_5100.out_traction_converter_fault,L2_5300.out_I_motor_rms,L2_5300.out_T_shaft,L2_5300.out_motor_phase_voltage,L2_5300.out_motor_speed,L2_5300.out_motor_torque_actual,L2_5300.out_omega_motor,L2_7100.out_main_reservoir_pressure,L2_7200.out_T_brake,L2_7200.out_brake_availability,L2_7200.out_brake_cylinder_pressure,L2_7200.out_dynamic_brake_force_request,L2_8100.out_achieved_dynamic_brake_force,L2_8100.out_available_dynamic_brake_force,L2_8100.out_brake_cylinder_pressure,L2_8100.out_brake_safety_loop_state,L2_8100.out_dcdc_enable_command,L2_8100.out_dynamic_brake_availability,L2_8100.out_emergency_brake_request,L2_8100.out_ess_contactor_command,L2_8100.out_ess_fault_reset_command,L2_8100.out_ess_power_request,L2_8100.out_ess_precharge_command,L2_8100.out_hv_safety_loop_state,L2_8100.out_main_reservoir_pressure,L2_8100.out_motor_torque_request,L2_8100.out_safety_brake_request,L2_8100.out_sanding_request,L2_8100.out_service_brake_request,L2_D100.out_emergency_brake_request,L2_D100.out_service_brake_request,L2_D100.out_traction_command,L2_D100.out_train_direction_command,L2_E100.out_external_safety_system_state,L2_E100.out_safety_brake_request,L2_X100.out_dcdc_actual_power,L2_X100.out_ess_absorbed_power,L2_X100.out_ess_availability,L2_X100.out_ess_available_charge_power,L2_X100.out_ess_available_discharge_power,L2_X100.out_ess_fault,L2_X100.out_super_cap_soc
0.0,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,1,0,0.0,0.0,0,600000.0,400000.0,0,0.35
0.05,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.016666666666666666,1,1,0,0.0,0.0,0,600000.0,400000.0,0,0.35
0.1,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.03333333333333333,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.15,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.049999999999999996,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.2,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.06666666666666667,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.25,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.08333333333333333,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.3,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.09999999999999999,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.35,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.11666666666666668,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.4,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.13333333333333333,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.45,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.15,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.5,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,25000.0,50.0,1,1,0,0.0,25000.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.16666666666666666,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.55,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,25000.0,50.0,1,1,0,0.0,25000.0,1,0.0,1500.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.18333333333333335,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.6,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,25000.0,50.0,1,1,0,0.0,25000.0,1,0.0,1500.0,50.0,0,615.6462585034013,0.0,0.0,0.0,474.60509900337144,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.19999999999999998,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
